,0.1,0.05,0.01
LRCX,-0.02459343765442442,-0.03199711037003991,-0.045885169093091864
ES,-0.012534892506230069,-0.016247436195803343,-0.023211550731004442
OKE,-0.02236109039974177,-0.029061664300863346,-0.04163082657901918
PNR,-0.02352056117133082,-0.03022500783781531,-0.04280143477971935
PVH,-0.025045779036768172,-0.032303339204294346,-0.04591731508684482
ROST,-0.01802877106576196,-0.023392959240306453,-0.033455284147301145
UAL,-0.023290924286892327,-0.030070598664802314,-0.042788140282355724
UHS,-0.019745991696602568,-0.02543308501361638,-0.036101126266112255
WDC,-0.03363468157092885,-0.043281285895025834,-0.061376711297682664
CERN,-0.020968403684732947,-0.02701196349703787,-0.0383486766114006
ZTS,-0.015999161400281778,-0.020851686944539507,-0.02995421785080452
ABBV,-0.021266857299709657,-0.027454937181784714,-0.03906274591216433
NWSA,-0.01959999335961144,-0.025210546639348564,-0.03573501151114878
SYF,-0.02250603516546987,-0.0289835796559107,-0.04113437585124809
HCA,-0.020138195167676284,-0.02611389468569438,-0.03732331317369804
REGN,-0.02637463328309461,-0.03381128474052594,-0.047761206098589415
MNST,-0.036033406478308896,-0.046178860574676815,-0.06521004518730893
VRTX,-0.027798134073132304,-0.03590970042978763,-0.05112564989491693
PYPL,-0.02106937661824882,-0.027401211991489437,-0.03927868211557944
PRGO,-0.029939112390165376,-0.038212665211348425,-0.05373247434425526
ROP,-0.014790672489245824,-0.01918675000690128,-0.027433060326307657
MHK,-0.022113978854728954,-0.028331250753331098,-0.039993818851843964
HPE,-0.026925735098800953,-0.03463839089589822,-0.04910605049339156
CB,-0.013329727423151604,-0.017209054578958924,-0.02448602715935793
ORLY,-0.02096772753433622,-0.027111970900457298,-0.038637549617279075
RCL,-0.022383958592182483,-0.02885642898012167,-0.0409977070030308
FLIR,-0.020376598763487554,-0.02636258366276283,-0.03759129581546178
BWA,-0.02471936341206607,-0.03178627052614957,-0.045042612987606694
MLM,-0.02169090254931232,-0.02808743783822748,-0.04008627424399677
TSCO,-0.021280569196476876,-0.027383125079257893,-0.03883050501030381
WRK,-0.024285100650093157,-0.031206163851450502,-0.044188927387671204
ESS,-0.01417361331819138,-0.01827227888247181,-0.025960693839391657
O,-0.013908162249470406,-0.01796896551241684,-0.02558635708884509
DLTR,-0.02236912735462615,-0.028811210648111048,-0.040895487535446744
HSIC,-0.030043437646232928,-0.038416827960211446,-0.0541239156258094
ALXN,-0.030093772224817954,-0.03854365437110405,-0.05439422799289248
IRM,-0.01686757559552944,-0.02172162369322374,-0.03082701065652265
KMX,-0.022771740804498515,-0.029414518609479103,-0.04187526502323886
QRVO,-0.02919331633861164,-0.03778726658431508,-0.05390808800090496
SLG,-0.016643354378048637,-0.0213284236755137,-0.030116834512141755
URI,-0.02952817113750875,-0.03822263352332279,-0.05453199899876758
PWR,-0.019426287008793525,-0.025170446288446988,-0.03594553379631762
NLSN,-0.02428853481331349,-0.030990105976946233,-0.043561138953720095
VTR,-0.016701374735681212,-0.021466404104424748,-0.03040480673675612
RSG,-0.009993306974459121,-0.013040877282350347,-0.018757612344038485
CCI,-0.014771813185128173,-0.01912134388290069,-0.027280340109324258
APTV,-0.024151072858498063,-0.031083701877553202,-0.044088160964284695
BKNG,-0.020424693099066065,-0.026390564190775418,-0.03758154618557172
FFIV,-0.02026398628511504,-0.02615108136029749,-0.03719429264918641
BLK,-0.017049340951918176,-0.02202432258173925,-0.031356560739070595
EW,-0.022957336405245218,-0.029823057881062622,-0.04270200954395285
NRG,-0.02714231047617209,-0.03525083181255621,-0.05046106932606855
ILMN,-0.02818400765881934,-0.03640762008138625,-0.05183374933198672
EQIX,-0.01746893273886574,-0.02263635196401301,-0.032329571046227246
GRMN,-0.01705081693972505,-0.022189637576262102,-0.0318292104624232
ACN,-0.013486291646242607,-0.017529096369125138,-0.025112725677698212
ADS,-0.023531041888564475,-0.029992726804397154,-0.042113773075346875
WLTW,-0.06325165453137153,-0.08178442711358012,-0.11654882632585445
AAP,-0.025329318268092132,-0.032584174253296544,-0.046193077539539065
NFLX,-0.03165617371712851,-0.041030158785045845,-0.05861419580192597
WYNN,-0.031200004747192023,-0.04033960358913692,-0.057483971026442815
STX,-0.03308058085171469,-0.04269898732206919,-0.06074151824063929
EXR,-0.016164634065127196,-0.0208196379723977,-0.029551651137141515
MOS,-0.029201916761769437,-0.037480080918139,-0.05300854014895291
DISCA,-0.02472465612775624,-0.0318517300484327,-0.04522093543282524
CMG,-0.02538952503429149,-0.03280940004538895,-0.04672785158019057
FB,-0.023782608800168695,-0.030773221493227566,-0.04388644830922992
PSX,-0.016671620511281248,-0.021509081949156017,-0.03058335509713093
HBI,-0.028437882680784447,-0.03637824061196202,-0.05127303154425919
TEL,-0.016743570124533588,-0.02163048489766562,-0.030797524278088257
V,-0.015309967420939895,-0.019927071052952123,-0.028587989604437772
ATVI,-0.02648957614845171,-0.03418538660136928,-0.048621447134700284
VRSK,-0.01335664384630627,-0.01735044976506187,-0.024842165465995467
AVGO,-0.023735885914676434,-0.03074074445051077,-0.043880694098359506
MPC,-0.025484624742438542,-0.032806616676263056,-0.0465414558368585
XYL,-0.01639819941465698,-0.021294639529231933,-0.030479546866059155
CPRI,-0.030168463049197104,-0.03878522302582173,-0.054948831704174556
LYB,-0.020982164744993096,-0.02699178352323521,-0.03826482890236821
ALLE,-0.016252322990021297,-0.021067560130743603,-0.03010014419334323
