,0.1,0.05,0.01
HST,-0.018736129754029718,-0.02413794172916208,-0.03427084262891328
MKC,-0.015023076974848738,-0.019501759915693882,-0.027903024271045327
MYL,-0.0317273182933541,-0.04052190998632779,-0.057019101389679784
NBL,-0.03189190639425536,-0.040937013882723736,-0.057904131255594085
NI,-0.014017453443136376,-0.018108054809716653,-0.02578134267289317
SJM,-0.016554337042532057,-0.02122372026660572,-0.02998270663827405
PSA,-0.014943071545963497,-0.019157793138218495,-0.027063909902550146
SYK,-0.014445292969217417,-0.018793149422343787,-0.026949005044251777
TSN,-0.018400890514259374,-0.02380250166167825,-0.03393502584203825
UPS,-0.015305482191173116,-0.019720754921586158,-0.028003072267804588
VAR,-0.018032147656517533,-0.023335656266081767,-0.0332841564006824
VNO,-0.01659718157012993,-0.021209337240874357,-0.029860974239908116
WEC,-0.011673374057937731,-0.015163652267528058,-0.02171083372685185
ZION,-0.021344106693282402,-0.027624686718133135,-0.03940601033282817
TROW,-0.017055617135623244,-0.022073460011585107,-0.0314860987385001
HOG,-0.023745052734649896,-0.030475482262034278,-0.04310064872982383
FISV,-0.025523037354680624,-0.03290612894639616,-0.04675558090382138
TIF,-0.02445771278304395,-0.031605761108355133,-0.045014310987627065
XRAY,-0.020556932747944415,-0.02640765477339557,-0.03738263627012481
FAST,-0.02975544244682513,-0.03826388134391309,-0.05422429769173832
APH,-0.014340605603381592,-0.018636796398743407,-0.02669573583910736
PXD,-0.02717542147095562,-0.03499580943038912,-0.049665556647683816
DVN,-0.03660621464131053,-0.04703446983240162,-0.06659614226659492
LH,-0.015669344205127906,-0.020224368839630073,-0.028768837516032843
VLO,-0.021547911685962262,-0.02777662946183526,-0.03946066812256507
NLOK,-0.029640547993157396,-0.03818624986400075,-0.0542165653534532
PBCT,-0.017583387934151106,-0.022611479062806722,-0.03204334180740679
EOG,-0.024750674351170666,-0.03186215907966242,-0.045202121732126864
EA,-0.024988623538445248,-0.032258908688759316,-0.04589675452275098
COG,-0.028439274783258226,-0.03656151846769768,-0.05179749682402288
XLNX,-0.022371318196937166,-0.02896961132240097,-0.04134691187555396
BIIB,-0.030842971870628576,-0.03966334885208982,-0.0562089091683397
KIM,-0.018822667669782193,-0.024117969327652818,-0.03405107458575955
GILD,-0.019735673218424024,-0.02524073918843125,-0.03556732741058221
DHI,-0.02104680737773807,-0.02719674344648363,-0.03873300072668585
SBUX,-0.014981373708435589,-0.019361136459227293,-0.027576842989276703
INTU,-0.017633182421794104,-0.02295178777467436,-0.03292860688902373
MCHP,-0.0221631397018693,-0.028727400110028736,-0.04104086094543851
EQR,-0.014393705775029002,-0.01849054929768866,-0.026175546407548392
SPG,-0.01515602420912501,-0.019396668811091214,-0.027351412830432145
IVZ,-0.022190949216624442,-0.028354211137249903,-0.039915465499380444
AVB,-0.01323094026693727,-0.017033715645100287,-0.024167089821826523
PLD,-0.014492625870887515,-0.018830390868417063,-0.026967316597917183
AIV,-0.014228850549679034,-0.018353248533746393,-0.02608993323067424
ABC,-0.022662836601948625,-0.02907424849603676,-0.041100990939009194
DVA,-0.021791882324617217,-0.028031709024900882,-0.03973658618031993
EL,-0.01704458097878379,-0.02214717872259304,-0.031718803486160685
WAT,-0.0180036918573087,-0.023297385480018713,-0.03322747433159357
CTXS,-0.0187326023936634,-0.024186030462404865,-0.0344157545695874
TRV,-0.013816284351313832,-0.017808836407754314,-0.025298200071512327
ETFC,-0.023083115657914918,-0.029802403506691146,-0.042406670038364264
NOV,-0.03152887246878548,-0.04046848374533027,-0.057237707769516526
